     -1.20      2.356      0.605
     -1.10      2.161      0.528
     -1.00      2.791      0.459
     -0.90      1.766      0.398
     -0.80      2.108      0.345
     -0.70      1.365      0.299
     -0.60      1.355      0.261
     -0.50      0.988      0.231
     -0.40      1.071      0.209
     -0.30      0.863      0.195
     -0.20      1.081      0.188
     -0.10      1.005      0.190
      0.00      1.216      0.200
      0.10      1.015      0.218
      0.20      1.098      0.244
      0.30      1.287      0.279
      0.40      2.023      0.322
      0.50      2.027      0.374
      0.60      2.164      0.434
      0.70      2.837      0.503
      0.80      2.602      0.581
      0.90      2.912      0.667
      1.00      2.509      0.763
      1.10      4.064      0.868
      1.20      6.708      0.982
